Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,Second,Charlie Green,3,18,LOST,45,41,95,70,80,25,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,Second,Charlie Hardie,4,15,LOST,61,43,60,31,136,,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,First,Charlie Green,4,18,WON,60,140,100,139,46,16,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,First,Charlie Hardie,5,20,WON,96,45,140,41,57,88,34,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,Second,Charlie Green,5,18,LOST,21,47,180,59,99,26,,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,Second,Charlie Hardie,6,21,LOST,180,100,100,59,22,0,20,,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,First,Charlie Green,6,24,WON,121,45,81,95,86,0,19,54,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Green,First,Charlie Hardie,7,22,WON,43,58,90,82,58,98,56,16,,,,
Ruislip,,,28/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/AT77yTCxCeCR,Charlie Hardie,Second,Charlie Green,7,21,LOST,45,45,28,95,85,45,58,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Kean Evans,First,Colm Mc Girl,1,23,WON,60,100,26,57,60,85,57,56,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Colm Mc Girl,Second,Kean Evans,1,21,LOST,66,100,43,45,26,140,56,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Kean Evans,Second,Colm Mc Girl,2,23,WON,60,95,41,47,85,76,75,22,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Colm Mc Girl,First,Kean Evans,2,24,LOST,60,45,26,60,41,45,41,60,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Kean Evans,First,Colm Mc Girl,3,30,LOST,57,140,100,100,32,47,3,0,14,4,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Colm Mc Girl,Second,Kean Evans,3,30,WON,100,59,96,120,58,33,27,0,0,8,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Kean Evans,Second,Colm Mc Girl,4,18,LOST,59,45,44,59,39,40,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Colm Mc Girl,First,Kean Evans,4,19,WON,60,100,60,60,85,96,40,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Kean Evans,First,Colm Mc Girl,5,24,WON,85,15,81,60,60,43,99,58,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/bXnvws31nZju,Colm Mc Girl,Second,Kean Evans,5,21,LOST,55,58,85,58,85,85,35,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,Ryan Doherty,First,John Mcdermott,1,24,LOST,30,22,44,33,45,79,43,45,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,John Mcdermott,Second,Ryan Doherty,1,24,WON,85,55,60,60,89,67,53,32,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,Ryan Doherty,Second,John Mcdermott,2,27,LOST,60,58,13,60,43,95,95,57,10,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,John Mcdermott,First,Ryan Doherty,2,29,WON,58,83,60,85,100,59,16,30,5,5,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,Ryan Doherty,First,John Mcdermott,3,30,LOST,47,57,83,41,33,63,29,40,41,27,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/alJp0SQpEyv9,John Mcdermott,Second,Ryan Doherty,3,28,WON,30,60,43,40,32,60,60,41,99,36,,
