Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,First,George Whyte,5,24,WON,140,100,44,60,117,20,6,14,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,Second,Nick Holman,5,21,LOST,100,100,100,82,59,40,17,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,Second,George Whyte,6,18,WON,22,60,180,100,99,40,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,First,Nick Holman,6,18,LOST,43,135,140,46,41,87,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,First,George Whyte,7,20,WON,140,43,24,100,45,100,49,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,Second,Nick Holman,7,18,LOST,26,93,41,45,55,85,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,Nick Holman,Second,George Whyte,8,15,LOST,100,41,100,80,100,,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VkU9bx6wwpO9,George Whyte,First,Nick Holman,8,17,WON,100,45,140,100,76,40,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,Second,Paul Upfold,1,21,WON,58,44,85,54,58,125,77,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,First,Charlie Green,1,21,LOST,100,41,45,100,45,98,40,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,First,Paul Upfold,2,21,LOST,46,58,83,58,60,40,71,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,Second,Charlie Green,2,21,WON,100,100,26,81,46,100,48,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,Second,Paul Upfold,3,25,WON,42,41,31,59,100,96,76,36,20,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,First,Charlie Green,3,27,LOST,60,42,80,100,81,78,20,0,20,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,First,Paul Upfold,4,24,WON,60,41,48,80,81,91,60,40,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,Second,Charlie Green,4,21,LOST,41,44,99,95,100,90,0,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,Second,Paul Upfold,5,18,LOST,60,100,45,100,30,96,,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,First,Charlie Green,5,20,WON,60,55,43,125,42,85,91,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,First,Paul Upfold,6,27,LOST,85,46,32,58,46,48,60,84,24,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,Second,Charlie Green,6,26,WON,81,80,67,81,60,32,21,77,2,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,Second,Paul Upfold,7,21,WON,100,95,75,45,57,47,82,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,First,Charlie Green,7,21,LOST,41,41,85,19,45,21,41,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Charlie Green,First,Paul Upfold,8,21,WON,98,59,27,83,40,100,94,,,,,,,,,,
Ruislip,,,26/04/2025,Semi-Final,https://www.dartsatlas.com/matches/VTI0VfCDvt2S,Paul Upfold,Second,Charlie Green,8,18,LOST,97,100,82,58,84,60,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,Nick Holman,First,John Green,1,15,WON,100,140,57,100,104,,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,John Green,Second,Nick Holman,1,12,LOST,26,66,37,28,,,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,Nick Holman,Second,John Green,2,19,WON,60,100,60,140,60,49,32,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,John Green,First,Nick Holman,2,21,LOST,68,83,45,85,60,44,45,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,Nick Holman,First,John Green,3,14,WON,125,140,100,128,8,,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,John Green,Second,Nick Holman,3,12,LOST,100,60,93,40,,,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,Nick Holman,Second,John Green,4,16,WON,123,100,59,100,87,32,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/9d5JWICQMv0u,John Green,First,Nick Holman,4,18,LOST,26,100,41,52,100,45,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,John Mcdermott,Second,George Whyte,1,18,LOST,31,70,7,121,64,58,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,George Whyte,First,John Mcdermott,1,20,WON,99,71,97,24,100,70,40,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,John Mcdermott,First,George Whyte,2,21,LOST,40,26,81,100,58,80,80,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,George Whyte,Second,John Mcdermott,2,20,WON,58,60,140,45,96,82,20,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,John Mcdermott,Second,George Whyte,3,12,LOST,44,43,81,29,,,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,George Whyte,First,John Mcdermott,3,15,WON,58,140,100,139,64,,,,,,,,,,,,
