Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,First,Aidan Oliver,1,25,WON,60,94,46,58,57,140,26,0,20,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,Second,Steven Ferguson,1,24,LOST,93,125,83,64,46,42,16,24,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,Second,Aidan Oliver,2,35,WON,58,54,58,100,100,41,78,0,0,0,6,6
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,First,Steven Ferguson,2,36,LOST,32,45,96,100,44,60,43,75,0,0,0,0
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,First,Aidan Oliver,3,22,WON,95,100,100,58,44,48,24,32,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,Second,Steven Ferguson,3,21,LOST,42,75,62,26,66,50,121,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,Second,Aidan Oliver,4,21,WON,78,56,125,81,45,76,40,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,First,Steven Ferguson,4,21,LOST,97,100,25,58,43,41,40,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,First,Aidan Oliver,5,18,LOST,57,21,60,98,33,100,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,Second,Steven Ferguson,5,16,WON,140,59,52,140,92,18,,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Steven Ferguson,Second,Aidan Oliver,6,21,WON,43,100,42,121,60,95,40,,,,,
Morden,,,29/06/2025,Semi-Final,https://www.dartsatlas.com/matches/ePtTHf2WdUCH,Aidan Oliver,First,Steven Ferguson,6,21,LOST,43,42,41,26,58,100,41,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,First,John Power,1,16,WON,121,85,140,55,60,40,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,Second,Nick Ellis,1,15,LOST,59,140,41,140,57,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,Second,John Power,2,18,WON,45,60,100,140,60,96,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,First,Nick Ellis,2,18,LOST,100,50,55,140,40,98,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,First,John Power,3,15,WON,140,97,140,36,88,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,Second,Nick Ellis,3,12,LOST,60,60,60,85,,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,Second,John Power,4,15,LOST,60,140,100,139,46,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,First,Nick Ellis,4,18,WON,85,60,100,41,121,94,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,First,John Power,5,12,LOST,60,83,100,44,,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,Second,Nick Ellis,5,12,WON,100,140,180,81,,,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,Nick Ellis,Second,John Power,6,17,WON,100,140,97,44,100,20,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/3MWf8dScnBnj,John Power,First,Nick Ellis,6,18,LOST,100,60,84,97,78,57,,,,,,
